NAME,DATE
"RFA 20 - Sanders vs. Mercado","Nov / 07 / 2014"
"RFA 16 - Copeland vs. Jorgensen","Jul / 25 / 2014"
"RFA 12 - Ortega vs. Koch","Jan / 24 / 2014"
"Tuff-N-Uff - Future Stars of MMA","Aug / 02 / 2013"
"Tuff-N-Uff - Festibrawl 6","May / 26 / 2013"
"Prestige Fight Club - The Rising","Apr / 13 / 2013"
"Mercenary Combat League - MCL 1","Sep / 15 / 2017"
"XFFC 13 - Future Stars","Feb / 03 / 2017"
"Havoc Fighting Championship - HFC 11","Dec / 02 / 2016"
"Prestige FC 1 - Atonement","Oct / 24 / 2015"
"MFC 41 - All In","Oct / 03 / 2014"
"UFC - The Ultimate Fighter Season 27 Semifinals","Feb / 28 / 2018"
"UFC - The Ultimate Fighter Season 27 Quarterfinals, Day 2","Feb / 09 / 2018"
"Saturday Night Fights - Round 9","Mar / 15 / 2014"
"RG - Rochester Gladiators","May / 15 / 2010"
"RG - Rochester Gladiators","Jan / 30 / 2010"
"UFC 204 - Bisping vs. Henderson 2","Oct / 08 / 2016"
"UFC Fight Night 46 - McGregor vs. Brandao","Jul / 19 / 2014"
"UFC on Fuel TV 5 - Struve vs. Miocic","Sep / 29 / 2012"
"UFC 138 - Leben vs. Munoz","Nov / 05 / 2011"
"UCMMA 6 - Payback","Aug / 22 / 2009"
"UCMMA 3 - Unstoppable","Mar / 28 / 2009"
"Cage Rage 26 - Extreme","May / 10 / 2008"
"FX3 - Fight Night 7","Mar / 15 / 2008"
"Cage Rage - Contenders 6","Aug / 18 / 2007"
"K-1 HERO's - Dynamite!! USA","Jun / 02 / 2007"
"Cage Rage 21 - Judgement Day","Apr / 21 / 2007"
"Bodog Fight - Costa Rica Combat","Feb / 16 / 2007"
"HOP 7 - Cage Fever","Nov / 26 / 2006"
"Intense Fighting - Caged","Nov / 11 / 2006"
"AFC 19 - Absolute Fighting Championships 19","Oct / 21 / 2006"
"Cage Rage 18 - Battleground","Sep / 30 / 2006"
"Cage Rage 15 - Adrenalin Rush","Feb / 04 / 2006"
"Cage Rage 13 - No Fear","Sep / 10 / 2005"
"Cage Rage 12 - The Real Deal","Jul / 02 / 2005"
"Cage Rage 10 - Deliverance","Feb / 26 / 2005"
"Cage Rage 9 - No Mercy","Nov / 27 / 2004"
"FCFN 2 - Full Contact Fight Night 2","Aug / 14 / 2004"
"UFC on FX 6 - Sotiropoulos vs. Pearson","Dec / 15 / 2012"
"CWFC - Fight Night 4","Mar / 16 / 2012"
"SnA 8 - Shock n Awe 8","Jul / 23 / 2011"
"SFC 4 - Spartan Fight Challenge 4","Jul / 17 / 2010"
"KnuckleUp MMA - The New Breed 2","Apr / 24 / 2010"
"PK - Pro Kumite","Apr / 10 / 2010"
"SFC 2 - Spartan Fight Challenge 2","Oct / 10 / 2009"
"PK - Pro Kumite","Sep / 19 / 2009"
"PK - Pro Kumite","Feb / 21 / 2009"
"FFI - Blood and Sand 22","Jun / 10 / 2017"
"Square Ring Promotions - Island Fights 40","Apr / 14 / 2017"
"SFC - Summit Fighting Championships","Nov / 05 / 2016"
"Summit Fighting Championships Jackson -","Oct / 01 / 2016"
"SFC - Summit Fighting Championships 15","Mar / 05 / 2016"
"SFC - Summit Fighting Championships","Jul / 25 / 2015"
"SFC - Summit Fighting Championships","Jun / 13 / 2015"
"SFC - Summit Fighting Championships 13","Mar / 07 / 2015"
"SFC - Summit Fighting Championships 8","Sep / 13 / 2014"
"SFC - Summit Fighting Championships 5","Jul / 19 / 2014"
"SFC - Summit Fighting Championships","Apr / 12 / 2014"
"SFC - Summit Fighting Championships","Jan / 18 / 2014"
"Psychout - MMA","Jan / 19 / 2013"
"KZ - Kombat Zone 38","Jan / 05 / 2013"
"Ohio Cage Combat - Season's Beatings 3","Dec / 08 / 2012"
"KP - Knockout Promotions","Aug / 04 / 2012"
"Shamrock FC - Fight Night","Jul / 10 / 2010"
"LFA 69 - Perez vs. Moreno","Jun / 07 / 2019"
"WFF - World Fighting Federation 27","Apr / 16 / 2016"
"WFF - World Fighting Federation 22","Jul / 25 / 2015"
"WFF - World Fighting Federation 18","Feb / 07 / 2015"
"WFF - World Fighting Federation 16","Sep / 20 / 2014"
"WFF - World Fighting Federation 14","Jun / 28 / 2014"
"MEZ Sports - Pandemonium 9","Jul / 26 / 2013"
"Xplode Fight Series - Anarchy","Sep / 22 / 2012"
"CITC 11 - Xtreme Couture vs. Southern California","Jul / 28 / 2012"
"Xplode Fight Series - Hunted","May / 19 / 2012"
"MEZ Sports - Pandemonium 6","Mar / 03 / 2012"
"UWC Mexico - New Blood 1","Jan / 29 / 2012"
"UWC Mexico 10 - To The Edge","Jun / 25 / 2011"
"UWC Mexico 9.5 - Iguana","Apr / 30 / 2011"
"UFC 157 - Rousey vs. Carmouche","Feb / 23 / 2013"
"UFC 128 - Shogun vs. Jones","Mar / 19 / 2011"
"UFC 121 - Lesnar vs. Velasquez","Oct / 23 / 2010"
"UFC 116 - Lesnar vs. Carwin","Jul / 03 / 2010"
"UFC Live 1 - Vera vs. Jones","Mar / 21 / 2010"
"UFC - The Ultimate Fighter 10 Finale","Dec / 05 / 2009"
"ROF 34 - Judgment Day","Apr / 11 / 2009"
"ROF 33 - Adrenaline","Jan / 10 / 2009"
"UWC 4 - Confrontation","Oct / 11 / 2008"
"ROF 32 - Respect","Jun / 13 / 2008"
"UFC - The Ultimate Fighter Season 10 Semifinals","Jul / 08 / 2009"
"UFC - The Ultimate Fighter Season 10 Quarterfinals, Day 1","Jun / 29 / 2009"
"UFC - The Ultimate Fighter Season 10 Opening Round, Day 3","Jun / 12 / 2009"
"UFC 212 - Aldo vs. Holloway","Jun / 03 / 2017"
"ROC 54 - Ring of Combat 54","Mar / 04 / 2016"
"ROC 53 - Ring of Combat 53","Nov / 20 / 2015"
"ROC 52 - Ring of Combat 52","Sep / 25 / 2015"
"CFFC 49 - Honor vs. Oliveira","Jun / 06 / 2015"
"Pinnacle FC - Pittsburgh Challenge Series 9","Nov / 26 / 2014"
"CFFC 34 - Santella vs. Honstein","Apr / 19 / 2014"
"CFFC 31 - Heckman vs. Lentz","Feb / 08 / 2014"
"CFFC 29 - Smith vs. Kelleher","Nov / 01 / 2013"
"CFFC 27 - Heckman vs. Kelleher","Sep / 21 / 2013"
"Bellator MMA - Bellator 95","Apr / 04 / 2013"
"Coalition of Combat - Free 4 All","Dec / 01 / 2012"
"WCMMA 1 - Portugal vs. USA","Sep / 15 / 2012"
"JB Sports / Live Nation - Rock Out Knock Out","Jun / 02 / 2012"
"NEF - Fight Night 1","Feb / 11 / 2012"
"CFFC 12 - Pollard vs. Soto","Dec / 10 / 2011"
"BFC - Bellator Fighting Championships 54","Oct / 15 / 2011"
"XFE - Cage Wars 8: House of Pain","Jul / 29 / 2011"
"CFFC 8 - Seek and Destroy","May / 20 / 2011"
"CZ 37 - Kicking It at The Rock","Apr / 29 / 2011"
"Xtreme Fight Events - Cage Wars 5","Mar / 11 / 2011"
"AFL - Asylum Fight League 26","Feb / 27 / 2010"
"RW 6 - Mayhem in the Mist 2","Jan / 23 / 2010"
"RW 4 - Defiance","Jun / 13 / 2009"
"RITC - Respect in the Cage","Mar / 12 / 2011"
"RITC - Respect in the Cage","Jan / 15 / 2011"
"RITC - Respect in the Cage","Jul / 24 / 2010"
"Gladiator Challenge - Bad Behavior","Jun / 27 / 2010"
"Gladiator Challenge - Maximum Force","Apr / 25 / 2010"
"Invicta FC - Phoenix Rising Series 1","May / 03 / 2019"
"Invicta FC 33 - Frey vs. Grusander 2","Dec / 15 / 2018"
"URCC 34 - Destiny","Aug / 04 / 2018"
"Rogue Fights 26 - Fight Night 3","Apr / 12 / 2014"
"Rogue Fights 25 - Fight Night 2","Jan / 18 / 2014"
"XFC 23 - Louisville Slugfest","Apr / 19 / 2013"
"Rogue Fights 20 - Fists of Fire","Oct / 20 / 2012"
"BTF - Born To Fight","Jul / 12 / 2012"
"Fight Academy - Proving Grounds 8","Jun / 23 / 2012"
"559 Fights - 559 Fights 1","Apr / 21 / 2012"
"CKMMA - Coaching Kids MMA","Feb / 26 / 2010"
"UFC 91 - Couture vs. Lesnar","Nov / 15 / 2008"
"UFC 81 - Breaking Point","Feb / 02 / 2008"
"Dana White's Contender Series - Season 3, Episode 8","Aug / 13 / 2019"
"Square Ring Promotions - Island Fights 51","Dec / 21 / 2018"
"Square Ring Promotions - Island Fights 46: The Return of Roy Jones Jr.","Feb / 08 / 2018"
"Square Ring Promotions - Island Fights 42","Oct / 14 / 2017"
"Square Ring Promotions - Island Fights 41","Jul / 22 / 2017"
"Titan FC 41 - Damm vs. Faria","Sep / 09 / 2016"
"Square Ring Promotions - Island Fights 37","Mar / 11 / 2016"
"Square Ring Promotions - Island Fights 34","Aug / 01 / 2015"
"Square Ring Promotions - Island Fights 33","Mar / 28 / 2015"
"Square Ring Promotions - Island Fights 31","Dec / 05 / 2014"
"Square Ring Promotions - Island Fights 30","Sep / 20 / 2014"
"Atlas Fights - Battle on Mobile Bay","Apr / 12 / 2014"
"Square Ring Promotions - Island Fights 27","Feb / 08 / 2014"
"AFC - Atlas Fighting Championships","Oct / 12 / 2013"
"Square Ring Promotions - Island Fights 24","Sep / 06 / 2013"
"Atlas Fights - Cage Rage 17","Aug / 17 / 2013"
"FFI - Throwdown 2","Feb / 26 / 2011"
"FFI - Throwdown 1","Dec / 04 / 2010"
"FFI - Showdown at Sunset","Oct / 16 / 2010"
"FFI - Kage Wars 4","Aug / 28 / 2010"
"FFI - Kage Wars 3","May / 15 / 2010"
"FFI - Kage Wars 2","Mar / 06 / 2010"
"Atlas Fights - Guitars & Cadillacs","Jan / 27 / 2010"
"Atlas Fights - Guitars & Cadillacs","Oct / 11 / 2009"
"KOTC - Radar Lock","Feb / 22 / 2014"
"Dakota FC 17 - Winter Brawl 2014","Jan / 11 / 2014"
"Dakota FC 16 - Fall Brawl 2013","Aug / 23 / 2013"
"Dakota FC 13 - Coming Home","Oct / 13 / 2012"
"Crowbar MMA - Rumble at the Fair","Jun / 25 / 2011"
"KOTC - Mainstream","Oct / 29 / 2010"
"CFX - Cage Fighting Xtreme","May / 15 / 2010"
"KOTC - Uppercut","Mar / 13 / 2010"
"KOTC - Offensive Strategy","Feb / 06 / 2010"
"The Cage Inc. - Battle at the Border 3","Dec / 19 / 2009"
"DFC 12 - Dakota Fighting Championships 12","Oct / 10 / 2009"
"KOTC - Turmoil","Sep / 05 / 2009"
"UFC Fight Night 54 - MacDonald vs. Saffiedine","Oct / 04 / 2014"
"UFC Fight Night 42 - Henderson vs. Khabilov","Jun / 07 / 2014"
"UFC 149 - Faber vs. Barao","Jul / 21 / 2012"
"UFC - The Ultimate Fighter 14 Finale","Dec / 03 / 2011"
"CS - CageSport 13","Feb / 19 / 2011"
"WEC 46 - Varner vs. Henderson","Jan / 10 / 2010"
"CS - CageSport 7","Oct / 03 / 2009"
"Strikeforce - Challengers 2","Jun / 19 / 2009"
"CS - CageSport MMA","Nov / 29 / 2008"
"EliteXC - Unfinished Business","Jul / 26 / 2008"
"Strikeforce - Melendez vs. Thomson","Jun / 27 / 2008"
"IFC - Caged Combat","Apr / 26 / 2008"
"SF 21 - Seasons Beatings","Dec / 22 / 2007"
"SF - Clash at the Casino 2","Jun / 30 / 2007"
"MMAC - The Revolution","May / 12 / 2007"
"LOTC - Lords of the Cage","Feb / 24 / 2007"
"SF 18 - Turning Point","Jan / 06 / 2007"
"DB 19 - Oregon vs. Texas","Sep / 23 / 2006"
"SF 16 - Clash at the Casino","Jun / 24 / 2006"
"AXFC 11 - Impact","May / 27 / 2006"
"PFA - Pride and Fury 4","Mar / 24 / 2006"
"AXFC 10 - Assault at the Armory","Mar / 18 / 2006"
"SF 12 - Breakout","Sep / 16 / 2005"
"UFC - The Ultimate Fighter Season 14 Semifinals, Day 2","Jul / 13 / 2011"
"UFC - The Ultimate Fighter Season 14 Quarterfinals, Day 1","Jun / 13 / 2011"
"UFC - The Ultimate Fighter Season 14 Elimination Fights","Jun / 07 / 2011"
"USA MMA - Ultimate Fight Night 4","Jun / 25 / 2005"
"URC 8 - Caged","Aug / 21 / 2004"
"XRW - Xtreme Ring Wars 6","Jul / 24 / 2004"
"V3 Fights 60 - Willis vs. Norwood","Jun / 17 / 2017"
"V3 Fights 56 - Mitchell vs. Ware","Jan / 14 / 2017"
"V3 Fights - Sanders vs. Anders","Jun / 18 / 2016"
"WSOF 27 - Firmino vs. Fodor","Jan / 23 / 2016"
"V3 Fights - Hall vs. Shelton","Sep / 26 / 2015"
"V3 Fights - Davis vs. Hall","Jun / 20 / 2015"
"V3 Fights - Johnson vs. Kennedy","Jan / 24 / 2015"
"UFC - The Ultimate Fighter Season 27 Quarterfinals, Day 3","Feb / 13 / 2018"
"LFC 34 - Legacy Fighting Championship 34","Aug / 29 / 2014"
"V3 Fights - Mitchell vs. Williams","Aug / 09 / 2014"
"V3 Fights - Johnson vs. Shuffield","Jun / 21 / 2014"
"V3 Fights - Milanowski vs. Orr","Nov / 23 / 2013"
"PFMMAC - PrizeFight MMA Championships","Jun / 02 / 2013"
"UFC Fight Night 58 - Machida vs. Dollaway","Dec / 20 / 2014"
"UFC Fight Night 41 - Munoz vs. Mousasi","May / 31 / 2014"
"UFC Fight Night 38 - Shogun vs. Henderson 2","Mar / 23 / 2014"
"UFC 146 - Dos Santos vs. Mir","May / 26 / 2012"
"UFC Live 3 - Sanchez vs. Kampmann","Mar / 03 / 2011"
"UFC 110 - Nogueira vs. Velasquez","Feb / 20 / 2010"
"UFC Fight Night 19 - Diaz vs. Guillard","Sep / 16 / 2009"
"UFC 92 - The Ultimate 2008","Dec / 27 / 2008"
"UFC - The Ultimate Fighter 7 Finale","Jun / 21 / 2008"
"SE - Vale Tudo","Oct / 27 / 2007"
"HDNF 1 - HDNet Fights","Oct / 13 / 2007"
"IFO - Wiuff vs. Salmon","Sep / 01 / 2007"
"RITC 94 - Rage in the Cage 94","Apr / 28 / 2007"
"WFC - Desert Storm","Mar / 31 / 2007"
"CFF - Cage Fighting Federation","Nov / 10 / 2006"
"UFC - The Ultimate Fighter Season 7 Semifinals, Day 2","Apr / 04 / 2008"
"UFC - The Ultimate Fighter Season 7 Semifinals, Day 1","Mar / 03 / 2008"
"UFC - The Ultimate Fighter Season 7 Quarterfinals, Day 2","Feb / 25 / 2008"
"UFC - The Ultimate Fighter Season 7 Opening Round, Day 7","Feb / 18 / 2008"
"UFC - The Ultimate Fighter Season 7 Elimination Fights","Jan / 27 / 2008"
"UFC 160 - Velasquez vs. Bigfoot 2","May / 25 / 2013"
"Bodog Fight - Clash of the Nations","Dec / 16 / 2006"
"Strikeforce - Tank vs. Buentello","Oct / 07 / 2006"
"EMMA - Eternal MMA 40","Dec / 08 / 2018"
"ACB 88 - Barnatt vs. Celinski","Jun / 16 / 2018"
"HFS - Hex Fight Series 12","Nov / 24 / 2017"
"EMMA - Eternal MMA 29","Oct / 21 / 2017"
"HFS - Hex Fight Series 8","Mar / 31 / 2017"
"EMMA - Eternal MMA 20","Oct / 15 / 2016"
"HFS 6 - Ebersole vs. Kennedy","Jun / 24 / 2016"
"Minotaur 2 - Rampage","Nov / 27 / 2015"
"HFS - Hex Fight Series 4","Oct / 31 / 2015"
"K-Oz Entertainment - Bragging Rights 7: Resurrection","Sep / 27 / 2015"
"HFS - Hex Fight Series 2","Mar / 14 / 2015"
"Valor Fight 9 - Potter vs. Dare","Nov / 22 / 2014"
"Valor Fight 7 - Potter vs. Butt","Feb / 15 / 2014"
"MMADU - MMA Down Under 4","Sep / 21 / 2013"
"Valor Fight 5 - One Year Anniversary","Jun / 15 / 2013"
"Shamrock Events - Night of Mayhem 6","Mar / 16 / 2013"
"Valor Fight 3 - Invicta","Dec / 08 / 2012"
"Gladiators Cage Fighting - Gladiators 2","Aug / 31 / 2012"
"Shamrock Events - Kings of Kombat 7","Jun / 23 / 2012"
"Brute Force 15 - In the Line of Fire","May / 20 / 2011"
"CES MMA 38 - Soriano vs. Makashvili","Sep / 23 / 2016"
"CES MMA 34 - Curtis vs. Burrell","Apr / 01 / 2016"
"CZ 44 - Steel Cage Fighters","Jun / 14 / 2013"
"CZ 39 - MMA Smack Down at The Rock","Oct / 21 / 2011"
"CZ 36 - Smashing on The Rock","Jan / 28 / 2011"
"XCFL - Xtreme Championship Fight League 2","Mar / 26 / 2010"
"XCFL - Xtreme Championship Fight League 1","Feb / 06 / 2010"
"ASC 2 - American Steel Cagefighting 2","Sep / 11 / 2009"
"WCF - World Championship Fighting 7","Jun / 27 / 2009"
"CZ 27 - The Rock 2","Feb / 06 / 2009"
"WCF - World Championship Fighting 5","Nov / 14 / 2008"
"CZ 26 - The Rock","Sep / 26 / 2008"
"EliteXC - Primetime","May / 31 / 2008"
"CZ 24 - Renaissance","Oct / 13 / 2007"
"CZ 23 - Down and Out","Aug / 25 / 2007"
"CZ 22 - Cage Masters 3","Jun / 23 / 2007"
"UFC 219 - Cyborg vs. Holm","Dec / 30 / 2017"
"XFC 15 - Tribute","Dec / 02 / 2011"
"BFC - Bellator Fighting Championships 46","Jun / 25 / 2011"
"ECSC - Friday Night Fights 3","Apr / 15 / 2011"
"Crowbar MMA - Winter Brawl","Dec / 10 / 2010"
"BFC - Bellator Fighting Championships 24","Aug / 12 / 2010"
"NMEF / RMBB - Ladies Night: Clash of the Titans 8","Jul / 16 / 2010"
"LBFN 8 - Long Beach Fight Night 8","Apr / 18 / 2010"
"RITC 3 - Respect in the Cage 3","Feb / 19 / 2010"
"UFC - The Ultimate Fighter Season 20 Semifinals","Aug / 14 / 2014"
"UFC - The Ultimate Fighter Season 20 Quarterfinals, Day 2","Aug / 06 / 2014"
"UFC Fight Night 145 - Blachowicz vs. Santos","Feb / 23 / 2019"
"CW 93 - Cage Warriors 93","Apr / 28 / 2018"
"RXF 29 - MMA All Stars 5: RXF vs. Magnum FC","Dec / 18 / 2017"
"Magnum FC 2 - Magnum Fighting Championship 2","Jul / 22 / 2017"
"Venator FC - Venator Fight Night 1","May / 27 / 2017"
"Magnum FC - Magnum Fighting Championship 1","Mar / 11 / 2017"
"XFN - X Fight Nights","Jun / 12 / 2016"
"Fight or Nothing - Road to Bellator","Apr / 02 / 2016"
"RFC - Real Fight Championship 3","Dec / 05 / 2015"
"Hells Angels Eternal City - 2nd Bikes and Fights Night","Jul / 25 / 2015"
"Storm 9 - Pennese vs. Sircu","Apr / 17 / 2015"
"White Rex - Tana Delle Tigri 2","May / 30 / 2014"
"UFC Fight Night 27 - Condit vs. Kampmann 2","Aug / 28 / 2013"
"UFC 158 - St. Pierre vs. Diaz","Mar / 16 / 2013"
"UFC 154 - St. Pierre vs. Condit","Nov / 17 / 2012"
"UFC 132 - Cruz vs. Faber 2","Jul / 02 / 2011"
"UFC Fight Night 18 - Condit vs. Kampmann","Apr / 01 / 2009"
"WEC 35 - World Extreme Cagefighting 35","Aug / 03 / 2008"
"WEC 32 - Albuquerque","Feb / 13 / 2008"
"WEC 29 - Las Vegas","Aug / 05 / 2007"
"WEC 26 - Las Vegas","Mar / 24 / 2007"
"WEC 25 - Las Vegas","Jan / 20 / 2007"
"Pancrase - Blow 9","Oct / 25 / 2006"
"Pancrase - Blow 7","Sep / 16 / 2006"
"Pancrase - 2006 Neo-Blood Tournament Finals","Jul / 28 / 2006"
"Extreme Wars 3 - Bay Area Brawl","Jun / 03 / 2006"
"ROTR 9 - Rumble on the Rock 9","Apr / 21 / 2006"
"ROTR - Just Scrap","Nov / 05 / 2005"
"Pancrase - Spiral 8","Oct / 02 / 2005"
"ROF 19 - Showdown","Sep / 10 / 2005"
"PNRF - Demolition","Jun / 18 / 2005"
"FW 3 - Fightworld 3","Nov / 27 / 2004"
"IE - Independent Event","Nov / 13 / 2004"
"FW 2 - Fightworld 2","Sep / 11 / 2004"
"ROF 12 - Nemesis","May / 22 / 2004"
"KOTC 35 - Acoma","Feb / 28 / 2004"
"ROF 11 - Bring It On","Jan / 10 / 2004"
"KOTC 26 - Gladiator Challenge","Aug / 03 / 2003"
"Triple Threat - Fight Night 1","Apr / 06 / 2003"
"FP - Fresquez Productions","Mar / 15 / 2003"
"RFC 1 - Reality Fighting Championships 1","Jan / 25 / 2003"
"AC 1 - Aztec Challenge 1","Sep / 06 / 2002"
"Inka Fighting Championship - Inka FC 29: Huachin vs. Cavalcante","Mar / 29 / 2019"
"Fusion Fighting Championship - FFC 35: Tubarao vs. Zarauz","Nov / 07 / 2018"
"300 Sparta 26 - Soncora vs. Pimenta","Jun / 15 / 2018"
"FFC 29 - Estela vs. Bedoya","Sep / 20 / 2017"
"FFC 28 - Cubas vs. Guarnizo","Jul / 18 / 2017"
"FFC 23 - Nene vs. Huracan","Nov / 23 / 2016"
"Tatya FC 7 - Huachin vs. Dapello","May / 12 / 2016"
"Strike Off 6 - Battle of Warriors","Oct / 03 / 2015"
"FFC 13 - Fusion Fighting Championship 13","Feb / 25 / 2015"
"FFC 12 - Fusion Fighting Championship 12","Dec / 11 / 2014"
"Tayta FC 3 - Tayta Fighting Championship 3","Nov / 06 / 2014"
"Peru FC - Peru Fighting Championship 18","Sep / 06 / 2014"
"Inka FC 25 - No to Racism","Apr / 16 / 2014"
"Tayta FC 2 - Tayta Fighting Championship 2","Apr / 17 / 2013"
"LFA 62 - Kenney vs. Cachero","Mar / 22 / 2019"
"LFA 53 - Royval vs. Kenney","Nov / 09 / 2018"
"LFA 44 - Frincu vs. Aguilera","Jun / 29 / 2018"
"Dana White's Tuesday Night Contender Series - Season 1, Episode 2","Jul / 18 / 2017"
"LFA 11 - Frincu vs. Mendonca","May / 05 / 2017"
"TPF 26 - Brawl in the Hall","Feb / 18 / 2016"
"DH - Dragon House 20","Jun / 06 / 2015"
"DFD - Duel for Domination 10","Dec / 20 / 2014"
"UFC - The Ultimate Fighter 17 Finale","Apr / 13 / 2013"
"FTW - Outlaws","May / 14 / 2011"
"ROF 38 - Ascension","Jun / 05 / 2010"
"FTW - Phenoms","Jan / 30 / 2010"
"Battlequest 8 - Battlequest 8","Apr / 11 / 2008"
"KC 45 - Season's Beatings 2","Dec / 08 / 2007"
"ROF 31 - Undisputed","Dec / 01 / 2007"
"RMBB & PCF 1 - HellRazor","Oct / 26 / 2007"
"UFC - The Ultimate Fighter 21 Finale","Jul / 12 / 2015"
"UFC Fight Night 61 - Bigfoot vs. Mir","Feb / 22 / 2015"
"UFC Fight Night 32 - Belfort vs. Henderson","Nov / 09 / 2013"
"UFC 147 - Silva vs. Franklin 2","Jun / 23 / 2012"
"SCC - Superior Cage Combat 2","Aug / 20 / 2011"
"ROF 40 - Backlash","Apr / 16 / 2011"
"BC - Bitetti Combat 7","May / 28 / 2010"
"UFC Fight Night 74 - Holloway vs. Oliveira","Aug / 23 / 2015"
"UFC - The Ultimate Fighter Nations Finale","Apr / 16 / 2014"
"XFFC 2 - East vs. West","Jul / 20 / 2013"
"BFC - Bellator Fighting Championships 76","Oct / 12 / 2012"
"PFC 1 - Border Wars","Jul / 16 / 2011"
"XCC 64 - Battle at the Border 10","Aug / 28 / 2010"
"Fighting Spirit MMA 12 - Furious","Aug / 21 / 2010"
"Fighting Spirit MMA - Meltdown","Jun / 26 / 2010"
"UFC on Fox 7 - Henderson vs. Melendez","Apr / 20 / 2013"
"WEC 52 - Faber vs. Mizugaki","Nov / 11 / 2010"
"TPF 1 - Tachi Palace Fights 1","Oct / 08 / 2009"
"TPF - Best of Both Worlds","Jul / 16 / 2009"
"PFC - Best of Both Worlds 2","Apr / 23 / 2009"
"PFC 10 - Explosive","Sep / 26 / 2008"
"UFC on Fuel TV 3 - Korean Zombie vs. Poirier","May / 15 / 2012"
"WEC 51 - Aldo vs. Gamburyan","Sep / 30 / 2010"
"Sengoku - Eighth Battle","May / 02 / 2009"
"Sengoku - Seventh Battle","Mar / 20 / 2009"
"Deep - 39 Impact","Dec / 10 / 2008"
"Deep - Gladiator","Aug / 16 / 2008"
"Korea FC - Tournament Series","May / 31 / 2008"
"Pancrase - 2007 Korea Neo-Blood Tournament","Dec / 16 / 2007"
"SSF - Super Sambo Festival","Jun / 24 / 2007"
"C3 Fights - Border Wars","Feb / 10 / 2018"
"Bellator 184 - Dantas vs. Caldwell","Oct / 06 / 2017"
"DCS 33 - Spring Brawl 2017","Apr / 01 / 2017"
"Bellator 171 - Guillard vs. Njokuani","Jan / 27 / 2017"
"Bellator 151 - Warren vs. Caldwell","Mar / 04 / 2016"
"C3 Fights - Beltran vs. Stafford","Dec / 05 / 2015"
"LF - Legend Fights","Jul / 24 / 2015"
"C3 Fights - Rencourntre vs. Jackson","Jan / 24 / 2015"
"OFC - Oklahoma Fighting Championship 3","Nov / 22 / 2014"
"C3 Fights - Border Wars 2014","Feb / 08 / 2014"
"C3 Fights - Fall Brawl 2013","Oct / 12 / 2013"
"RFC 6 - Rhino Fighting Championships","Mar / 08 / 2013"
"Double G FC 2 - Double G Fighting Championship","Mar / 30 / 2019"
"All FC 5 - All Fighting Championship 5","Sep / 10 / 2016"
"All FC 1 - All Fighting Championship 1","Jul / 17 / 2016"
"KAMA - Korean All MMA Association 13","Dec / 26 / 2015"
"KAMA - Korean All MMA Association 11","Jun / 05 / 2015"
"Dana White's Tuesday Night Contender Series - Season 1, Episode 6","Aug / 15 / 2017"
"LFC 57 - Legacy Fighting Championship 57","Jul / 01 / 2016"
"LFC 38 - Legacy Fighting Championship 38","Feb / 13 / 2015"
"LFC 24 - Legacy Fighting Championship 24","Oct / 11 / 2013"
"LFC 16 - Legacy Fighting Championship 16","Dec / 14 / 2012"
"DWTC - Dominion Warrior Tri Combat","Apr / 28 / 2012"
"Fight Game - Premier Event","Dec / 02 / 2011"
"24/7 Entertainment 2 - Battle in the Panhandle: Amarillo vs. Dallas","Jun / 10 / 2011"
"LP - Legacy Promotions","Mar / 20 / 2010"
"KOK 7 - Judgment Day","Aug / 29 / 2009"
"Global Fighting Promotions - Dominant Knockout 1","Apr / 25 / 2009"
"UFC Fight Night 43 - Te Huna vs. Marquardt","Jun / 28 / 2014"
"UFC Fight Night 36 - Machida vs. Mousasi","Feb / 15 / 2014"
"UFC 152 - Jones vs. Belfort","Sep / 22 / 2012"
"UFC on Fox 2 - Evans vs. Davis","Jan / 28 / 2012"
"UFC Live 4 - Kongo vs. Barry","Jun / 26 / 2011"
"UFC 124 - St. Pierre vs. Koscheck 2","Dec / 11 / 2010"
"UFC Fight Night 22 - Marquardt vs. Palhares","Sep / 15 / 2010"
"UFC Live 2 - Jones vs. Matyushenko","Aug / 01 / 2010"
"WC - Warriors Challenge 5","Feb / 14 / 2010"
"EFC - Eagle Fighting Championship","Sep / 26 / 2009"
"FCF - First Class Fight 3","Sep / 18 / 2009"
"JF 12 - Warriors","Mar / 21 / 2009"
"KF 1 - Korea Fight 1","Dec / 29 / 2008"
"KA 1 - Kawai Arena 1","Dec / 13 / 2008"
"Predador FC 9 - Welterweight Grand Prix","Mar / 15 / 2008"
"Circuito Nacional de Vale-Tudo Amador - National Amateur Vale-Tudo Circuit","Nov / 03 / 2007"
"UFC Fight Night 59 - McGregor vs. Siver","Jan / 18 / 2015"
"Classic Entertainment and Sports - CES MMA 25","Aug / 08 / 2014"
"Classic Entertainment and Sports - CES MMA 22","Mar / 14 / 2014"
"Fight Lab 35 - Misery Loves Company 6","Feb / 08 / 2014"
"CES MMA - Gold Rush","Aug / 09 / 2013"
"CFA 11 - Kyle vs. Wiuff","May / 24 / 2013"
"CFA 9 - Night of Champions","Jan / 19 / 2013"
"Fight Time 11 - Unfinished Business","Aug / 24 / 2012"
"Fight Party - Tabernacle Fight Party","Mar / 03 / 2012"
"Fight Party - Masquerade Fight Party","Oct / 01 / 2011"
"Fight Party - Greenville Kage Fighting","Sep / 18 / 2010"
